Bedroom,LGA,Period,Affordable,Percent
1br,Banyule,2001-12-01 00:00:00,5,0.114
1br,Banyule,2002-03-01 00:00:00,5,0.114
1br,Banyule,2002-06-01 00:00:00,3,0.086
1br,Banyule,2002-09-01 00:00:00,4,0.108
1br,Banyule,2002-12-01 00:00:00,1,0.029
1br,Banyule,2003-03-01 00:00:00,4,0.075
1br,Banyule,2003-06-01 00:00:00,0,0
1br,Banyule,2003-09-01 00:00:00,1,0.033
1br,Banyule,2003-12-01 00:00:00,1,0.029
1br,Banyule,2004-03-01 00:00:00,3,0.044
1br,Banyule,2004-06-01 00:00:00,1,0.026
1br,Banyule,2004-09-01 00:00:00,4,0.105
1br,Banyule,2004-12-01 00:00:00,2,0.067
1br,Banyule,2005-03-01 00:00:00,3,0.043
1br,Banyule,2005-06-01 00:00:00,2,0.049
1br,Banyule,2005-09-01 00:00:00,2,0.048
1br,Banyule,2005-12-01 00:00:00,2,0.087
1br,Banyule,2006-03-01 00:00:00,2,0.051
1br,Banyule,2006-06-01 00:00:00,1,0.015
1br,Banyule,2006-09-01 00:00:00,2,0.049
1br,Banyule,2006-12-01 00:00:00,1,0.043
1br,Banyule,2007-03-01 00:00:00,1,0.014
1br,Banyule,2007-06-01 00:00:00,3,0.079
1br,Banyule,2007-09-01 00:00:00,0,0
1br,Banyule,2007-12-01 00:00:00,0,0
1br,Banyule,2008-03-01 00:00:00,2,0.042
1br,Banyule,2008-06-01 00:00:00,2,0.071
1br,Banyule,2008-09-01 00:00:00,2,0.044
1br,Banyule,2008-12-01 00:00:00,2,0.049
1br,Banyule,2009-03-01 00:00:00,0,0
1br,Banyule,2009-06-01 00:00:00,0,0
1br,Banyule,2009-09-01 00:00:00,1,0.014
1br,Banyule,2009-12-01 00:00:00,0,0
1br,Banyule,2010-03-01 00:00:00,2,0.016
1br,Banyule,2010-06-01 00:00:00,2,0.034
1br,Banyule,2010-09-01 00:00:00,1,0.013
1br,Banyule,2010-12-01 00:00:00,0,0
1br,Banyule,2011-03-01 00:00:00,1,0.006
1br,Banyule,2011-06-01 00:00:00,0,0
1br,Banyule,2011-09-01 00:00:00,0,0
1br,Banyule,2011-12-01 00:00:00,0,0
1br,Banyule,2012-03-01 00:00:00,0,0
1br,Banyule,2012-06-01 00:00:00,2,0.027
1br,Banyule,2012-09-01 00:00:00,1,0.014
1br,Banyule,2012-12-01 00:00:00,1,0.022
1br,Banyule,2013-03-01 00:00:00,1,0.008
1br,Banyule,2013-06-01 00:00:00,3,0.04
1br,Banyule,2013-09-01 00:00:00,1,0.014
1br,Banyule,2014-03-01 00:00:00,2,0.017
1br,Banyule,2014-06-01 00:00:00,0,0
1br,Banyule,2014-09-01 00:00:00,2,0.027
1br,Banyule,2014-12-01 00:00:00,0,0
1br,Banyule,2015-03-01 00:00:00,1,0.007
1br,Banyule,2015-06-01 00:00:00,0,0
1br,Banyule,2015-09-01 00:00:00,0,0
1br,Banyule,2015-12-01 00:00:00,1,0.014
1br,Banyule,2016-03-01 00:00:00,1,0.009
1br,Banyule,2016-06-01 00:00:00,0,0
1br,Banyule,2016-09-01 00:00:00,0,0
1br,Banyule,2016-12-01 00:00:00,0,0
1br,Banyule,2017-03-01 00:00:00,1,0.006
1br,Banyule,2017-09-01 00:00:00,0,0
1br,Banyule,2017-12-01 00:00:00,1,0.013
1br,Banyule,2018-03-01 00:00:00,0,0
1br,Banyule,2018-06-01 00:00:00,0,0
1br,Banyule,2018-09-01 00:00:00,3,0.022
1br,Banyule,2018-12-01 00:00:00,0,0
1br,Banyule,2019-03-01 00:00:00,1,0.009
1br,Banyule,2019-06-01 00:00:00,1,0.013
1br,Banyule,2019-09-01 00:00:00,4,0.031
1br,Banyule,2019-12-01 00:00:00,0,0
1br,Banyule,2020-03-01 00:00:00,2,0.014
1br,Banyule,2020-06-01 00:00:00,0,0
1br,Banyule,2020-09-01 00:00:00,1,0.012
1br,Banyule,2020-12-01 00:00:00,2,0.017
1br,Banyule,2021-03-01 00:00:00,6,0.044
1br,Banyule,2021-06-01 00:00:00,7,0.059
1br,Banyule,2021-09-01 00:00:00,5,0.05
1br,Banyule,2021-12-01 00:00:00,0,0
1br,Banyule,2022-03-01 00:00:00,4,0.02
1br,Banyule,2022-06-01 00:00:00,1,0.008
1br,Banyule,2022-09-01 00:00:00,2,0.017
1br,Banyule,2022-12-01 00:00:00,1,0.009
1br,Banyule,2023-03-01 00:00:00,3,0.023
1br,Banyule,2023-06-01 00:00:00,1,0.009
1br,Banyule,2023-09-01 00:00:00,3,0.023
1br,Banyule,2023-12-01 00:00:00,10,0.079
1br,Banyule,2024-03-01 00:00:00,14,0.072
1br,Banyule,2024-06-01 00:00:00,1,0.005
1br,Banyule,2024-09-01 00:00:00,3,0.02
1br,Banyule,2024-12-01 00:00:00,3,0.028
1br,Banyule,2025-03-01 00:00:00,3,0.026
1br,Bass Coast,2000-03-01 00:00:00,5,0.625
1br,Bass Coast,2000-06-01 00:00:00,5,0.833
1br,Bass Coast,2000-09-01 00:00:00,1,0.2
1br,Bass Coast,2000-12-01 00:00:00,4,0.364
1br,Bass Coast,2001-03-01 00:00:00,3,0.6
1br,Bass Coast,2001-06-01 00:00:00,2,0.5
1br,Bass Coast,2001-09-01 00:00:00,5,0.625
1br,Bass Coast,2001-12-01 00:00:00,3,0.429
1br,Bass Coast,2002-03-01 00:00:00,3,0.5
1br,Bass Coast,2002-06-01 00:00:00,4,0.5
1br,Bass Coast,2002-09-01 00:00:00,3,0.429
1br,Bass Coast,2002-12-01 00:00:00,2,0.333
1br,Bass Coast,2003-03-01 00:00:00,3,0.429
1br,Bass Coast,2003-06-01 00:00:00,3,0.333
1br,Bass Coast,2003-09-01 00:00:00,2,0.2
1br,Bass Coast,2003-12-01 00:00:00,3,0.5
1br,Bass Coast,2004-03-01 00:00:00,3,0.6
1br,Bass Coast,2004-06-01 00:00:00,1,0.333
1br,Bass Coast,2004-09-01 00:00:00,4,0.444
1br,Bass Coast,2004-12-01 00:00:00,7,0.7
1br,Bass Coast,2005-03-01 00:00:00,1,0.2
1br,Bass Coast,2005-06-01 00:00:00,5,0.556
1br,Bass Coast,2005-09-01 00:00:00,1,0.2
1br,Bass Coast,2005-12-01 00:00:00,3,0.75
1br,Bass Coast,2006-03-01 00:00:00,0,0
1br,Bass Coast,2006-06-01 00:00:00,4,0.5
1br,Bass Coast,2006-09-01 00:00:00,1,0.2
1br,Bass Coast,2006-12-01 00:00:00,1,0.2
1br,Bass Coast,2007-03-01 00:00:00,0,0
1br,Bass Coast,2007-06-01 00:00:00,3,0.6
1br,Bass Coast,2007-09-01 00:00:00,1,0.125
1br,Bass Coast,2007-12-01 00:00:00,1,0.2
1br,Bass Coast,2008-03-01 00:00:00,2,0.286
1br,Bass Coast,2008-06-01 00:00:00,0,0
1br,Bass Coast,2008-09-01 00:00:00,0,0
1br,Bass Coast,2008-12-01 00:00:00,4,0.444
1br,Bass Coast,2009-03-01 00:00:00,1,0.143
1br,Bass Coast,2009-06-01 00:00:00,1,0.125
1br,Bass Coast,2009-09-01 00:00:00,1,0.083
1br,Bass Coast,2009-12-01 00:00:00,0,0
1br,Bass Coast,2010-03-01 00:00:00,1,0.043
